coreid	accessURI	goodQualityAccessURI	rights	owner	caption	comments	format
68408	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00009/UCSB-IZC00009041_2x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00009/UCSB-IZC00009041_2x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68413	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00009/UCSB-IZC00009048_2x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00009/UCSB-IZC00009048_2x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68426	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00009/UCSB-IZC00009078_1x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00009/UCSB-IZC00009078_1x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68556	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010325_1x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010325_1x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68584	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010358_2x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010358_2x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68602	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010379_2x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010379_2x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68614	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010431_1x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010431_1x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68617	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010460_1x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010460_1x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68617	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010460_2x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010460_2x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
68625	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010496_1x_hal_lg.jpg	https://serv.biokic.asu.edu/imglib/ecdysis/UCSB_IZC/UCSB-IZC00010/UCSB-IZC00010496_1x_hal.jpg	http://creativecommons.org/publicdomain/zero/1.0/	University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC)		HabitusLateral	image/jpeg
