coreid	occurrenceID	catalogNumber	Family	scientificName	sex	references
85665	MCZ:Ent:32859	32859	Apidae	Epeolus canadensis		https://library.big-bee.net/portal/collections/individual/index.php?occid=85665
85663	MCZ:Ent:16393	16393	Apidae	Florilegus purpurascens		https://library.big-bee.net/portal/collections/individual/index.php?occid=85663
85662	MCZ:Ent:16391	16391	Apidae	Florilegus pavoninus		https://library.big-bee.net/portal/collections/individual/index.php?occid=85662
85657	MCZ:Ent:23489	23489	Apidae	Tetralonia chilensis		https://library.big-bee.net/portal/collections/individual/index.php?occid=85657
85656	MCZ:Ent:23490	23490	Apidae	Alloscirtetica valparadisaea		https://library.big-bee.net/portal/collections/individual/index.php?occid=85656
85651	MCZ:Ent:27601	27601	Apidae	Anthophora malelana		https://library.big-bee.net/portal/collections/individual/index.php?occid=85651
85650	MCZ:Ent:36066	36066	Halictidae	Ptilocleptis polybioides		https://library.big-bee.net/portal/collections/individual/index.php?occid=85650
85649	MCZ:Ent:16389	16389	Apidae	Leptometria pacifica		https://library.big-bee.net/portal/collections/individual/index.php?occid=85649
85648	MCZ:Ent:27415	27415	Halictidae	Nomia mediolucens		https://library.big-bee.net/portal/collections/individual/index.php?occid=85648
85647	MCZ:Ent:27410	27410	Halictidae	Nomia laticauda		https://library.big-bee.net/portal/collections/individual/index.php?occid=85647
85635	MCZ:Ent:609504	609504	Andrenidae	Andrena dunningi	Male	https://library.big-bee.net/portal/collections/individual/index.php?occid=85635
85572	MCZ:Ent:610193	610193	Colletidae	Hylaeus	Female	https://library.big-bee.net/portal/collections/individual/index.php?occid=85572
85536	MCZ:Ent:27452	27452	Halictidae	Lasioglossum obscurifrons		https://library.big-bee.net/portal/collections/individual/index.php?occid=85536
85512	MCZ:Ent:27440	27440	Halictidae	Lasioglossum epichlorops		https://library.big-bee.net/portal/collections/individual/index.php?occid=85512
85482	MCZ:Ent:32863	32863	Halictidae	Sphecodes solonis		https://library.big-bee.net/portal/collections/individual/index.php?occid=85482
85403	MCZ:Ent:553	553	Megachilidae	Megachile melanopyga		https://library.big-bee.net/portal/collections/individual/index.php?occid=85403
85363	MCZ:Ent:15714	15714	Megachilidae	Megachile umatillensis		https://library.big-bee.net/portal/collections/individual/index.php?occid=85363
85334	MCZ:Ent:27420	27420	Halictidae	Nomia plebeia		https://library.big-bee.net/portal/collections/individual/index.php?occid=85334
85321	MCZ:Ent:27441	27441	Halictidae	Halictus monozonus	Female	https://library.big-bee.net/portal/collections/individual/index.php?occid=85321
85320	MCZ:Ent:27453	27453	Halictidae	Halictus cardiurus	Female	https://library.big-bee.net/portal/collections/individual/index.php?occid=85320
85296	MCZ:Ent:27458	27458	Halictidae	Lasioglossum mesogonus		https://library.big-bee.net/portal/collections/individual/index.php?occid=85296
85289	MCZ:Ent:32618	32618	Halictidae	Agapostemon cyaneus		https://library.big-bee.net/portal/collections/individual/index.php?occid=85289
85288	MCZ:Ent:27423	27423	Halictidae	Nomia humilis		https://library.big-bee.net/portal/collections/individual/index.php?occid=85288
85287	MCZ:Ent:16344	16344	Halictidae	Nomia babindensis		https://library.big-bee.net/portal/collections/individual/index.php?occid=85287
85274	MCZ:Ent:27419	27419	Halictidae	Nomia heterura		https://library.big-bee.net/portal/collections/individual/index.php?occid=85274
85269	MCZ:Ent:528	528	Megachilidae	Osmia caementaria		https://library.big-bee.net/portal/collections/individual/index.php?occid=85269
